"","Genus","Species"
"Otu00706",NA,NA
"Otu00707",NA,NA
"Otu00708",NA,NA
"Otu00709",NA,NA
"Otu00710",NA,NA
"Otu00711",NA,NA
"Otu00712",NA,NA
"Otu00713",NA,NA
"Otu00714",NA,NA
"Otu00715",NA,NA
"Otu00716",NA,NA
"Otu00718",NA,NA
"Otu00719",NA,NA
"Otu00720",NA,NA
"Otu00721",NA,NA
"Otu00722",NA,NA
"Otu00723",NA,NA
"Otu00724",NA,NA
"Otu00725",NA,NA
"Otu00726",NA,NA
"Otu00727",NA,NA
"Otu00728",NA,NA
"Otu00729",NA,NA
"Otu00730",NA,NA
"Otu00731",NA,"atlanticus/batsensis/isoalkanivorans"
"Otu00733",NA,NA
"Otu00735",NA,NA
"Otu00736",NA,NA
"Otu00737",NA,NA
"Otu00738",NA,NA
"Otu00739","Pseudoruegeria","limi"
"Otu00740",NA,NA
"Otu00741",NA,NA
"Otu00742",NA,NA
"Otu00743",NA,NA
"Otu00744",NA,NA
"Otu00745",NA,NA
"Otu00746",NA,NA
"Otu00747",NA,NA
"Otu00749",NA,NA
"Otu00750",NA,NA
"Otu00751",NA,NA
"Otu00752",NA,NA
"Otu00753",NA,NA
"Otu00754",NA,NA
"Otu00755",NA,NA
"Otu00756",NA,NA
"Otu00757",NA,NA
"Otu00758","Vibrio","coralliilyticus/hangzhouensis/harveyi/maritimus/ponticus/rotiferianus/variabilis"
"Otu00759",NA,NA
"Otu00760",NA,NA
"Otu00761",NA,NA
"Otu00762",NA,NA
"Otu00763",NA,NA
"Otu00764",NA,NA
"Otu00765",NA,NA
"Otu00766",NA,NA
"Otu00767","Sphingobium","barthaii/fuliginis/herbicidovorans/mellinum/quisquiliarum"
"Otu00768",NA,NA
"Otu00769",NA,NA
"Otu00770",NA,NA
"Otu00771",NA,NA
"Otu00772","Roseomonas","ludipueritiae"
"Otu00773",NA,NA
"Otu00774",NA,NA
"Otu00775",NA,NA
"Otu00776",NA,NA
"Otu00777",NA,NA
"Otu00780",NA,NA
"Otu00782",NA,NA
"Otu00785",NA,NA
"Otu00787",NA,NA
"Otu00789",NA,NA
"Otu00790",NA,NA
"Otu00791",NA,NA
"Otu00794",NA,NA
"Otu00795",NA,NA
"Otu00796",NA,NA
"Otu00797",NA,NA
"Otu00799",NA,NA
"Otu00800",NA,NA
"Otu00801","Prosthecochloris","vibrioformis"
"Otu00802",NA,NA
"Otu00804","Perspicuibacter","marinus"
"Otu00805",NA,NA
"Otu00806",NA,NA
"Otu00808","Aquimarina","hainanensis"
"Otu00809",NA,NA
"Otu00810",NA,NA
"Otu00811",NA,NA
"Otu00812",NA,NA
"Otu00813",NA,NA
"Otu00815",NA,NA
"Otu00816",NA,NA
"Otu00817",NA,NA
"Otu00818",NA,NA
"Otu00819",NA,NA
"Otu00820",NA,NA
"Otu00822",NA,NA
"Otu00823",NA,NA
"Otu00824",NA,NA
"Otu00825",NA,NA
"Otu00826",NA,NA
"Otu00827",NA,NA
"Otu00828",NA,NA
"Otu00829",NA,NA
"Otu00830",NA,NA
"Otu00831",NA,NA
"Otu00832",NA,NA
"Otu00833","Alicycliphilus","denitrificans"
"Otu00834",NA,NA
"Otu00835",NA,NA
"Otu00836",NA,NA
"Otu00837",NA,NA
"Otu00839",NA,NA
"Otu00840",NA,NA
"Otu00841","Marinobacter","adhaerens/flavimaris/nanhaiticus/similis"
"Otu00842","Sulfitobacter","geojensis/noctilucicola/pacificus/porphyrae"
"Otu00843","Psychrobacter","celer"
"Otu00844","Dechloromonas","agitata"
"Otu00845",NA,NA
"Otu00846",NA,NA
"Otu00847",NA,NA
"Otu00848",NA,NA
"Otu00849",NA,NA
"Otu00850",NA,NA
"Otu00852",NA,NA
"Otu00853",NA,NA
"Otu00854",NA,NA
"Otu00855",NA,NA
"Otu00856",NA,NA
"Otu00858",NA,NA
"Otu00859","Fusobacterium","ulcerans"
"Otu00860",NA,NA
"Otu00861",NA,NA
"Otu00862",NA,NA
"Otu00863",NA,"americanum/arachidis/betae/broomeae/canariense/centrosemae/daqingense/denitrificans/diazoefficiens/elkanii/embrapense/erythrophlei/ferriligni/group/guangxiense/huanghuaihaiense/icense/ingae/iriomotense/japonicum/jicamae/lablabi/liaoningense/lupini/neotropicale/oligotrophicum/ottawaense/pachyrhizi/paxllaeri/retamae/stylosanthis/tropiciagri/valentinum/viridifuturi/yuanmingense"
"Otu00864",NA,NA
"Otu00866",NA,NA
"Otu00867",NA,NA
"Otu00868",NA,NA
"Otu00869",NA,NA
"Otu00870",NA,NA
"Otu00871",NA,NA
"Otu00872",NA,NA
"Otu00873",NA,NA
"Otu00874",NA,NA
"Otu00875","Novosphingobium","subterraneum"
"Otu00876","Celeribacter","indicus"
"Otu00877",NA,NA
"Otu00878",NA,NA
"Otu00879",NA,NA
"Otu00880",NA,NA
"Otu00882",NA,NA
"Otu00883",NA,NA
"Otu00884",NA,NA
"Otu00885",NA,NA
"Otu00886",NA,NA
"Otu00887",NA,NA
"Otu00888",NA,NA
"Otu00890","Phenylobacterium","immobile/koreense"
"Otu00891",NA,NA
"Otu00893",NA,NA
"Otu00894",NA,NA
"Otu00895",NA,NA
"Otu00896",NA,NA
"Otu00897",NA,NA
"Otu00899","Mesonia","mobilis"
"Otu00901",NA,NA
"Otu00902",NA,NA
"Otu00903",NA,NA
"Otu00904","Curvibacter","fontanus"
"Otu00906",NA,NA
"Otu00908",NA,NA
"Otu00910",NA,NA
"Otu00911",NA,NA
"Otu00912",NA,NA
"Otu00913",NA,NA
"Otu00915",NA,NA
"Otu00917",NA,NA
"Otu00919",NA,NA
"Otu00921",NA,NA
"Otu00922",NA,NA
"Otu00925",NA,NA
"Otu00926",NA,NA
"Otu00927",NA,NA
"Otu00928","Bacteroides","salyersiae"
"Otu00929",NA,NA
"Otu00930",NA,NA
"Otu00931",NA,NA
"Otu00932",NA,NA
"Otu00933",NA,NA
"Otu00935","Azonexus","hydrophilus"
"Otu00936",NA,NA
"Otu00937",NA,NA
"Otu00938",NA,NA
"Otu00939",NA,NA
"Otu00940",NA,NA
"Otu00942",NA,NA
"Otu00943",NA,NA
"Otu00944",NA,NA
"Otu00945",NA,NA
