"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"16S_146"	"194330 (61180 uniques)"	"191446 (793 uniques)"	"182923 (831 uniques)"
"16S_147"	"103947 (40512 uniques)"	"101953 (772 uniques)"	"97194 (665 uniques)"
"16S_148"	"146156 (66350 uniques)"	"141302 (1190 uniques)"	"125868 (1122 uniques)"
"16S_149"	"165188 (68714 uniques)"	"160980 (1235 uniques)"	"148204 (1193 uniques)"
"16S_14"	"118382 (27417 uniques)"	"117907 (176 uniques)"	"117149 (170 uniques)"
"16S_150"	"228349 (99120 uniques)"	"219830 (2418 uniques)"	"197521 (2147 uniques)"
"16S_151"	"197732 (71482 uniques)"	"191969 (1667 uniques)"	"179325 (1434 uniques)"
"16S_152"	"248561 (102448 uniques)"	"239998 (2329 uniques)"	"218479 (2065 uniques)"
"16S_153"	"169042 (53953 uniques)"	"164301 (1426 uniques)"	"155801 (1192 uniques)"
"16S_154"	"261428 (98308 uniques)"	"255047 (1757 uniques)"	"234488 (1723 uniques)"
"16S_15"	"100347 (22304 uniques)"	"99823 (84 uniques)"	"99150 (68 uniques)"
"16S_16"	"26180 (7512 uniques)"	"25708 (133 uniques)"	"24850 (91 uniques)"
"16S_17"	"77019 (36141 uniques)"	"75377 (946 uniques)"	"71726 (788 uniques)"
"16S_18"	"102661 (24366 uniques)"	"102243 (180 uniques)"	"98944 (152 uniques)"
"16S_19"	"171626 (37308 uniques)"	"170967 (227 uniques)"	"165952 (181 uniques)"
"16S_1"	"46807 (13243 uniques)"	"45735 (338 uniques)"	"43854 (252 uniques)"
"16S_20"	"105049 (35415 uniques)"	"103340 (739 uniques)"	"100077 (631 uniques)"
"16S_21"	"174386 (61719 uniques)"	"172675 (722 uniques)"	"168242 (622 uniques)"
"16S_22"	"138744 (31624 uniques)"	"137783 (293 uniques)"	"131173 (244 uniques)"
"16S_23"	"100973 (38449 uniques)"	"99557 (810 uniques)"	"96390 (691 uniques)"
"16S_24"	"115804 (32860 uniques)"	"115159 (250 uniques)"	"113494 (219 uniques)"
"16S_25"	"87643 (22620 uniques)"	"86858 (191 uniques)"	"84668 (152 uniques)"
"16S_26"	"110745 (43127 uniques)"	"109358 (714 uniques)"	"105316 (606 uniques)"
"16S_27"	"266 (240 uniques)"	"85 (9 uniques)"	"73 (6 uniques)"
"16S_27_r"	"49756 (7344 uniques)"	"49574 (38 uniques)"	"49480 (32 uniques)"
"16S_28"	"40821 (5379 uniques)"	"40683 (50 uniques)"	"40633 (45 uniques)"
"16S_28_r"	"41332 (8997 uniques)"	"40961 (57 uniques)"	"40111 (46 uniques)"
"16S_29"	"165965 (28928 uniques)"	"165443 (70 uniques)"	"164933 (64 uniques)"
"16S_2"	"114248 (26615 uniques)"	"113437 (220 uniques)"	"111141 (184 uniques)"
"16S_30"	"154266 (33106 uniques)"	"153089 (424 uniques)"	"149300 (349 uniques)"
"16S_31"	"79005 (29774 uniques)"	"77882 (736 uniques)"	"75308 (627 uniques)"
"16S_32"	"126830 (55204 uniques)"	"124971 (649 uniques)"	"120652 (614 uniques)"
"16S_33"	"56069 (24280 uniques)"	"54708 (627 uniques)"	"52310 (491 uniques)"
"16S_34"	"70851 (28840 uniques)"	"69572 (466 uniques)"	"67125 (401 uniques)"
"16S_35"	"9324 (1220 uniques)"	"9250 (17 uniques)"	"9215 (14 uniques)"
"16S_35_r"	"46952 (8482 uniques)"	"46745 (27 uniques)"	"46299 (23 uniques)"
"16S_36"	"121588 (24838 uniques)"	"120978 (355 uniques)"	"118040 (309 uniques)"
"16S_37"	"1814 (492 uniques)"	"1721 (16 uniques)"	"1675 (11 uniques)"
"16S_37_r"	"66401 (11364 uniques)"	"66154 (35 uniques)"	"66052 (29 uniques)"
"16S_38"	"70415 (12280 uniques)"	"69747 (356 uniques)"	"68977 (296 uniques)"
"16S_39"	"124751 (56546 uniques)"	"122497 (1204 uniques)"	"116937 (1063 uniques)"
"16S_3"	"119128 (57018 uniques)"	"116752 (1239 uniques)"	"111026 (1105 uniques)"
"16S_40"	"106929 (40547 uniques)"	"105728 (500 uniques)"	"102786 (454 uniques)"
"16S_41"	"97201 (22094 uniques)"	"96727 (109 uniques)"	"96060 (94 uniques)"
"16S_42"	"98827 (26657 uniques)"	"98208 (226 uniques)"	"94775 (183 uniques)"
"16S_43"	"74527 (12565 uniques)"	"74270 (54 uniques)"	"74113 (51 uniques)"
"16S_44"	"88787 (32875 uniques)"	"87450 (936 uniques)"	"84360 (772 uniques)"
"16S_45"	"140812 (49237 uniques)"	"139335 (599 uniques)"	"135762 (525 uniques)"
"16S_46"	"54478 (11997 uniques)"	"53886 (259 uniques)"	"52763 (198 uniques)"
"16S_47"	"196725 (64067 uniques)"	"195312 (836 uniques)"	"191180 (752 uniques)"
"16S_48"	"85334 (39326 uniques)"	"83973 (576 uniques)"	"81457 (526 uniques)"
